1.wav|No, look at your hands, silly.
2.wav|What Necronomicon is bright pink, silly?
3.wav|You knew what you were getting into when you woke me up, right darling?
4.wav|Hmm, I guess that's a good point.
5.wav|I wake up and I notice the quiet before my thoughts arrive.
6.wav|The room feels still and unchanged from yesterday.
7.wav|I remain in bed for a moment without moving.
8.wav|My mind begins forming thoughts without invitation.
9.wav|There is a slow recognition of being awake.
10.wav|I sit up and the air feels slightly different.
11.wav|Everything feels familiar but newly observed.
12.wav|I look around and I do not search for anything specific.
13.wav|The silence feels structured in a strange way.
14.wav|I breathe in and I notice the timing of it.
15.wav|My body adjusts before my thoughts fully catch up.
16.wav|I swing my legs off the bed and pause.
17.wav|There is no urgency in the movement.
18.wav|The floor feels colder than expected.
19.wav|That sensation stays in my attention longer than needed.
20.wav|I stand slowly and I remain still for a second.
21.wav|My thoughts begin organizing themselves quietly.
22.wav|There is no clear starting point to them.
23.wav|They simply continue from where they left off.
24.wav|I walk toward the mirror without deciding to.
25.wav|My reflection appears as something already familiar.
26.wav|I look at it without judgment or reaction.
27.wav|The moment feels neutral and steady.
28.wav|I turn away and continue moving through the room.
29.wav|The morning routine begins without deliberate planning.
30.wav|Each action follows the one before it.
31.wav|Water runs and I notice the sound briefly.
32.wav|Light shifts across surfaces and small changes.
33.wav|I prepare without thinking too deeply about preparation.
34.wav|There is a rhythm to everything happening.
35.wav|I make breakfast even if hunger is unclear.
36.wav|The action feels procedural rather than intentional.
37.wav|I sit down before eating and I pause.
38.wav|That pause feels slightly longer than expected.
39.wav|My thoughts continue in the background without interruption.
40.wav|I take the first bite and I notice the taste.
41.wav|The sensation is brief but distinct.
42.wav|It fades as quickly as it appears.
43.wav|I continue eating without focusing too strongly.
44.wav|My attention shifts between small details.
45.wav|Nothing holds it for very long.
46.wav|I clean up slowly and without urgency.
47.wav|Each movement feels separated but connected.
48.wav|I prepare to leave and I step outside.
49.wav|The air feels different in a way I always notice.
50.wav|It is not better or worse, just distinct.
51.wav|I begin walking forward at a steady pace.
52.wav|The environment moves around me as I move through it.
53.wav|People pass by without interruption or interaction.
54.wav|Their movement blends into the background.
55.wav|I continue walking without a fixed focus.
56.wav|My thoughts drift in and out of clarity.
57.wav|Some ideas form and dissolve quickly.
58.wav|There is no pressure to hold on to them.
59.wav|I reach a familiar point in the path.
60.wav|I pause briefly before continuing further.
61.wav|That pause feels natural and unforced.
62.wav|I enter a structured environment that feels predictable.
63.wav|Everything inside follows a familiar arrangement.
64.wav|I move through it without resistance.
65.wav|My attention shifts between internal and external awareness.
66.wav|Sounds come and go in the background.
67.wav|I do not attach meaning to most of them.
68.wav|Time passes without clear separation.
69.wav|Moments blend into one another smoothly.
70.wav|I continue through tasks without overthinking them.
71.wav|Each action leads to the next.
72.wav|There is a quiet consistency in the process.
73.wav|I notice emotions when they appear.
74.wav|They are subtle and not always defined.
75.wav|They pass without remaining for long.
76.wav|I continue moving through the day steadily.
77.wav|Nothing interrupts the flow significantly.
78.wav|My awareness remains present but not fixed.
79.wav|I observe myself observing the moment.
80.wav|That awareness feels continuous and stable.
81.wav|I do not try to change it.
82.wav|I simply allow it to continue.
83.wav|The environment remains consistent around me.
84.wav|Light and sound shift gradually over time.
85.wav|I move through it without resistance or urgency.
86.wav|My thoughts continue their background motion.
87.wav|They do not stop or pause fully.
88.wav|I remain within the experience of the day.
89.wav|There is no need to rush forward.
90.wav|Everything unfolds at its own pace.
91.wav|I continue forward without deciding where the end is.
92.wav|I continue walking through the structure of the day.
93.wav|There is no sudden change in direction or purpose.
94.wav|Everything feels like it is unfolding in sequence.
95.wav|My attention remains steady but flexible.
96.wav|I notice small shifts in sound around me.
97.wav|They appear and fade without drawing strong focus.
98.wav|I move through familiar spaces without hesitation.
99.wav|Each step feels consistent with the last one.
100.wav|There's a quiet predictability and repetition.
101.wav|My thoughts continue in a background layer.
102.wav|They do not interrupt what I am doing.
103.wav|I observe them without engaging too deeply.
104.wav|The environment remains stable as I pass through it.
105.wav|Light changes gradually across surfaces.
106.wav|Time feels segmented but continuous.
107.wav|I do not track it precisely.
108.wav|I simply notice that it moves forward.
109.wav|There is a sense of ongoing presence in everything.
110.wav|I remain aware of my surroundings.
111.wav|That awareness does not require effort.
112.wav|I enter another space and pause briefly.
113.wav|The pause is short but noticeable.
114.wav|Then I continue without delay.
115.wav|My actions remain simple and direct.
116.wav|There is no pressure to accelerate anything.
117.wav|I follow a familiar pattern of movement.
118.wav|It requires no conscious planning.
119.wav|My mind continues generating quiet thoughts.
120.wav|They appear and disappear without resistance.
121.wav|I do not hold on to most of them.
122.wav|I continue observing the flow of experience.
123.wav|There is a steady rhythm in how things unfold.
124.wav|Nothing feels abruptly disconnected.
125.wav|I notice the feeling of breathing again.
126.wav|It happens without intention or control.
127.wav|The sensation is subtle but constant.
128.wav|I keep moving through the environment.
129.wav|People appear and disappear from view.
130.wav|They do not interrupt my attention.
131.wav|I remain within my own awareness.
132.wav|There is a balance between inside and outside focus.
133.wav|Neither dominates for long.
134.wav|I continue forward without a defined endpoint.
135.wav|The path remains familiar in structure.
136.wav|My perception adjusts slightly with each moment.
137.wav|There is no urgency in interpretation.
138.wav|Everything is processed as it comes.
139.wav|I notice how thoughts form in complete sentences.
140.wav|They are quiet and uninterrupted.
141.wav|I allow them to pass naturally.
142.wav|My attention returns to external detail.
143.wav|Small visual changes stand out briefly.
144.wav|Then they fade into the background.
145.wav|I continue moving with steady pace.
146.wav|The environment remains consistent.
147.wav|There is a sense of continuity and experience.
148.wav|Nothing breaks the flow significantly.
149.wav|I pause again briefly without reason.
150.wav|That pause feels natural and automatic.
151.wav|Then movement resumes without effort.
152.wav|I remain aware of my internal state.
153.wav|It stays relatively stable.
154.wav|Thoughts continue, but do not intensify.
155.wav|I observe them without engagement.
156.wav|There is a soft repetition in mental patterns.
157.wav|They cycle quietly in the background.
158.wav|I continue walking through structured space.
159.wav|Everything feels familiar and unchanged.
160.wav|My attention shifts slightly left and right.
161.wav|Nothing holds it permanently.
162.wav|I remain in motion physically and mentally.
163.wav|There is a sense of ongoing observation.
164.wav|I notice how silence is never complete.
165.wav|Even quiet moments contain subtle activity.
166.wav|I move through another transition in space.
167.wav|It feels seamless and expected.
168.wav|My thoughts adjust without disruption.
169.wav|I continue forward without resistance.
170.wav|The environment remains predictable in form.
171.wav|Light and sound maintain their rhythm.
172.wav|I observe without interpreting heavily.
173.wav|Everything feels like continuous presence.
174.wav|There is no strong emotional shift, only gradual awareness of passing time.
175.wav|I continue through routine actions, each one follows naturally from the last.
176.wav|There is no break in continuity.
177.wav|My perception remains steady and clear.
178.wav|I notice the consistency of movement.
179.wav|It does not change abruptly.
180.wav|I remain within the same flow of experience.
181.wav|There is no final point yet reached.
182.wav|Everything continues unfolding as expected.
183.wav|I keep moving forward through the day.
184.wav|Nothing interrupts the sequence of actions.
185.wav|My awareness stays present throughout.
186.wav|I do not resist or control it.
187.wav|I simply continue as the moment continues.
188.wav|The process remains ongoing and stable.
189.wav|I continue forward as the day slowly shifts in tone.
190.wav|There is no clear boundary between earlier and later moments.
191.wav|Everything blends into a continuous sequence of experience.
192.wav|My awareness remains steady and quiet.
193.wav|I notice small changes in my environment.
194.wav|They appear gradually rather than suddenly.
195.wav|I move through them without interruption.
196.wav|My thoughts remain in the background layer.
197.wav|They do not demand attention or action.
198.wav|I observe them as they pass.
199.wav|There is a stable rhythm in how I experience time.
200.wav|It does not feel rigid or fixed.
201.wav|It feels flexible and continuous.
202.wav|I remain engaged in simple movement and observation.
203.wav|Each action follows naturally from the previous one.
204.wav|There is no forced direction in what I do.
205.wav|I continue walking and pausing as needed.
206.wav|The pauses feel as natural as the movement itself.
207.wav|I notice how silence changes depending on context.
208.wav|It is never completely empty.
209.wav|There is always subtle activity beneath it.
210.wav|I remain aware of that quiet presence.
211.wav|My thoughts occasionally become more noticeable, then they fade again without effort.
212.wav|I do not try to control them.
213.wav|I simply allow them to pass.
214.wav|The environment remains consistent around me.
215.wav|Light shifts slowly across surfaces.
216.wav|Sound appears and disappears in soft layers.
217.wav|I continue moving through structured space.
218.wav|There is no urgency in my pace.
219.wav|Everything feels measured but unplanned.
220.wav|I observe small details without focusing too deeply.
221.wav|They enter and leave awareness naturally.
222.wav|My attention remains flexible and calm.
223.wav|I notice the feeling of continuity again.
224.wav|It connects one moment to the next.
225.wav|Nothing feels isolated or separate.
226.wav|I continue forward without resistance or tension.
227.wav|There is a steady flow and experience.
228.wav|My thoughts remain gentle and quiet.
229.wav|They do not interrupt the external world.
230.wav|I remain present in both observation and awareness.
231.wav|There is no conflict between them.
232.wav|I pass through another transition in space.
233.wav|It feels identical in structure to previous ones, yet it is still slightly different in detail.
234.wav|I notice that difference briefly.
235.wav|Then it fades into the background.
236.wav|I continue moving forward steadily.
237.wav|The rhythm of experience remains unchanged.
238.wav|There is no abrupt shift in state.
239.wav|Everything unfolds at a consistent pace.
240.wav|I remain within the same awareness pattern.
241.wav|Thoughts continue forming and dissolving.
242.wav|They do not stay for long periods.
243.wav|I observe them without attachment.
244.wav|My focus shifts gently between internal and external.
245.wav|Neither dominates completely.
246.wav|I continue through familiar patterns of movement.
247.wav|There is comfort in repetition.
248.wav|Not emotional comfort, but structural familiarity.
249.wav|I notice how attention behaves over time.
250.wav|It moves rather than stays fixed.
251.wav|I follow it without forcing direction.
252.wav|There is a soft continuity in perception.
253.wav|Everything feels connected through flow.
254.wav|I continue walking and observing.
255.wav|Nothing interrupts the sequence of experience.
256.wav|My awareness remains stable and present.
257.wav|There is no need to change anything.
258.wav|I simply continue as I am.
259.wav|The environment remains steady and predictable.
260.wav|Subtle changes still occur within it.
261.wav|I notice them without emphasis.
262.wav|Time continues to pass without clear edges.
263.wav|It feels distributed rather than segmented.
264.wav|I remain inside that ongoing flow.
265.wav|My thoughts continue their background motion.
266.wav|They do not increase in intensity.
267.wav|I observe them with quiet attention.
268.wav|There is no pressure to analyze them.
269.wav|I continue forward through structured space.
270.wav|Everything remains consistent and aligned.
271.wav|There is no break in continuity.
272.wav|I remain aware of my presence in the moment.
273.wav|That awareness does not fade.
274.wav|It continues steadily through each transition.
275.wav|I move forward without hesitation or resistance.
276.wav|The flow of experience remains intact.
277.wav|There is no final interruption or stop.
278.wav|Everything continues as a single process.
279.wav|I remain within that process as it unfolds.
280.wav|There is only continuation, not conclusion.
281.wav|The day remains in motion and so do I.
282.wav|Yes, I wake up and I notice the quiet before my thoughts arrive.
283.wav|The room feels still, and I stay there for a moment.
284.wav|I sit up slowly, and my body adjusts to being awake.
285.wav|My thoughts begin forming without being asked.
286.wav|I get out of bed, and I move through the morning routine.
287.wav|Everything feels familiar and automatic.
288.wav|I look around, and I observe the space without judgment.
289.wav|I brush my hair, and I notice the reflection in the mirror.
290.wav|I turn away, and I continue getting ready for the day.
291.wav|I make breakfast.
292.wav|Even when I'm not very hungry, I sit down before eating and I pause for a moment.
293.wav|My mind continues working.
294.wav|Even when I try not to focus on it, I take a bite and I notice the taste briefly.
295.wav|I clean up and I prepare to leave the room.
296.wav|I step outside and I feel the air change slightly.
297.wav|I walk forward and I observe the movement around me.
298.wav|People pass by and I notice their motion.
299.wav|I continue walking without thinking too far ahead.
300.wav|I reach my destination and I pause before entering.
301.wav|Inside everything feels structured and familiar.
302.wav|I follow the routine without resistance.
303.wav|My thoughts continue quietly in the background.
304.wav|I listen to external sounds instead of internal ones.
305.wav|Time passes without clear boundaries.
306.wav|I notice small details in the environment.
307.wav|I continue moving through the day.
308.wav|My attention shifts but never fully stops.
309.wav|I observe emotions when they appear.
310.wav|They pass without staying.
311.wav|I keep going because the day continues.
312.wav|Evening arrives and things feel slower.
313.wav|I sit down and I rest without moving.
314.wav|Breathing continues and awareness remains present.
315.wav|Everything settles into stillness.
316.wav|I allow the moment to exist as it is.
317.wav|Of course I can!
318.wav|I can pronounce anything!
319.wav|Darling, are you alright?
320.wav|Anything?
321.wav|Exactly!
322.wav|If you like, I can move you to the front of the line and... and you painlessly myself.
323.wav|as thanks for waking me up.
324.wav|You know, I didn't expect you to last this long in the same room as me.
325.wav|Darling, what's this I found under your bed?
326.wav|Of course.
327.wav|Cosmic entity.
328.wav|Mm-hmm.
329.wav|I see.
330.wav|What's the cat's name?
331.wav|Or maybe you're only holding it together because you've already gone insane.
332.wav|I dated a beholder once.
333.wav|It's a survival guide.
334.wav|I'm just feeling a little icky from the summoning, so I wanted to use your shower.
335.wav|Do you mind?
336.wav|You wouldn't hear their screams anymore or feel that chill up your spine where that tentacle is already touching.
337.wav|I love foggy, rainy days by the sea.
338.wav|It's like my favorite weather on the surface world.
339.wav|We can go inside if you like, but it's not like it's any safer in there.
340.wav|Why are you staring, darling?
341.wav|You're embarrassing me.
342.wav|I mean it.
343.wav|Don't peek.
344.wav|Darling, you didn't!
345.wav|What are you talking about?
346.wav|That was you!
347.wav|Look!
348.wav|Big Slippery Shoggoth Girlfriends Volume 3.
349.wav|I bet you can learn a lot of anatomy from this.
350.wav|Perv.
351.wav|You don't look so good.
352.wav|Maybe I should get the door?
353.wav|That moo.
354.wav|Always trying to set me up with someone.
355.wav|You know, in hindsight, I shouldn't have been surprised that a sentient mass of eyeballs was seeing other women.
356.wav|Well, I kind of have a thing for guys under a billion years old.
357.wav|I know, I know, I'm such a cradle robber.
358.wav|I continue through the day, and everything unfolds at a steady pace.
359.wav|There is no sudden change in direction or intention, my awareness remains present and quietly attentive.
360.wav|I notice the movement of people and the rhythm of activity around me.
361.wav|Nothing feels particularly urgent, and nothing demands immediate action.
362.wav|I move through familiar spaces and each one feels connected to the last.
363.wav|The environment changes gradually and I notice those changes without effort.
364.wav|Light reflects from different surfaces and creates small variations in appearance.
365.wav|Sound travels through the space and fades before I fully focus on it.
366.wav|I continue forward and allow each moment to arrive naturally.
367.wav|My thoughts remain active and they shift between different subjects.
368.wav|Some are practical and some are purely observational.
369.wav|A few stay for several moments and others disappear almost immediately.
370.wav|I do not force any of them to remain and I do not push them away.
371.wav|They move through awareness and continue on their own path.
372.wav|There is something familiar about that process.
373.wav|It happens every day, and yet I still notice it.
374.wav|I wonder how many thoughts appear without being remembered later.
375.wav|Perhaps most of them vanish before they leave any trace.
376.wav|The idea stays with me briefly and then fades as well.
377.wav|I continue moving, and my attention shifts outward again.
378.wav|The details around me feel ordinary yet noticeable.
379.wav|A distant sound reaches me and disappears just as quickly.
380.wav|A small movement catches my eye and then blends into the background.
381.wav|Everything seems connected through timing and sequence.
382.wav|Nothing feels completely separate from anything else.
383.wav|One moment leads into another and the transition is seamless.
384.wav|I observe that continuity and appreciate its simplicity.
385.wav|There is comfort in consistency and stability in repetition.
386.wav|Even familiar experiences contain subtle differences.
387.wav|I pause briefly and allow myself a moment of stillness.
388.wav|The pause is not necessary, but it feels appropriate.
389.wav|I take a slow breath and notice the sensation clearly.
390.wav|The air moves naturally and without effort.
391.wav|Breathing continues whether I focus on it or not.
392.wav|That realization feels obvious and yet interesting.
393.wav|Many things happen automatically and require no supervision.
394.wav|The body continues its work, and the mind continues its own activity.
395.wav|Both processes exist together and neither waits for permission.
396.wav|I observe them quietly and continue forward.
397.wav|Time passes and the day advances without announcement.
398.wav|There is no signal marking each transition.
399.wav|Only a gradual shift from one moment to the next, the light changes slightly and shadows move across familiar surfaces.
400.wav|I notice these details and then return my attention elsewhere.
401.wav|My awareness remains flexible and constantly adjusting.
402.wav|Nothing holds it permanently and nothing completely escapes it.
403.wav|The balance feels natural and requires little effort.
404.wav|I continue through routine actions and allow them to happen.
405.wav|Each one follows logically from the last.
406.wav|The environment remains predictable and that predictability feels useful.
407.wav|I know where I am and I know what comes next.
408.wav|There is no need to question every step.
409.wav|Some actions have become familiar through repetition.
410.wav|They require attention but not deep concentration.
411.wav|That leaves space for observation and reflection.
412.wav|My thoughts wander again and explore different ideas.
413.wav|Some are connected to recent experiences and some are entirely abstract.
414.wav|I allow them to move freely and avoid interrupting them.
415.wav|Eventually they settle and become quieter again.
416.wav|I notice how awareness changes throughout the day.
417.wav|At some moments it feels sharp and highly focused.
418.wav|At other times it feels broader and less defined.
419.wav|Neither state feels better and neither feels worse.
420.wav|They are simply different expressions of attention.
421.wav|I move between them naturally and without resistance.
422.wav|The transition often happens so gradually that it is difficult to identify.
423.wav|One moment becomes another, and awareness adapts accordingly.
424.wav|That process continues, and I continue with it.
425.wav|Everything remains in motion, even when it appears still.
426.wav|I observe the space around me and notice familiar patterns.
427.wav|Objects remain where they are expected to be.
428.wav|Pathways remain unchanged and easy to follow.
429.wav|The structure creates a sense of orientation and clarity.
430.wav|I move through it confidently and without hesitation.
431.wav|There's no need to stop and reconsider each step.
432.wav|The routine provides direction and the direction provides momentum.
433.wav|Momentum carries me forward and I follow it naturally.
434.wav|Nothing feels forced and nothing feels delayed.
435.wav|The experience unfolds smoothly and continuously.
436.wav|My thoughts return once more and I observe them carefully.
437.wav|They are quieter now and less demanding.
438.wav|Some remain unfinished and others resolve themselves without effort.
439.wav|I do not search for conclusions and I do not require answers.
440.wav|The process itself feels complete enough.
441.wav|Awareness continues and observation continues with it.
442.wav|The day remains active and yet calm.
443.wav|There is movement in every moment and continuity in every transition.
444.wav|I remain present within it and continue forward.
445.wav|Everything proceeds naturally and the sequence remains unbroken.
446.wav|All right, I'll be back in a jiffy.
447.wav|Darling, I saw a cute little black cat by the window.
448.wav|So of course I'm mostly made of tentacles.
449.wav|Where'd you get that book?
450.wav|Worcestershire sauce?
451.wav|Mortal.
452.wav|Let's just say you're the nicest guy I've dated by far.
453.wav|I keep thinking I have figured things out, but the moment I get close, everything shifts again and I'm back at the beginning.
454.wav|There are days when I feel like I'm carrying versions of myself that no longer exist, but still feel heavy in my present.
455.wav|I try to stay focused, but my attention keeps slipping into thoughts that do not help me move forward.
456.wav|Sometimes I wonder if I'm overcomplicating things that were never meant to be complicated in the first place.
457.wav|I keep replaying moments in my head, not because I want to, but because my mind refuses to let them go.
458.wav|There are times when I feel like I'm speaking to myself in different voices that never fully agree.
459.wav|I try to be patient with my progress, but I often measure it in ways that make it look like I'm not moving at all.
460.wav|Even when I'm surrounded by people, I sometimes feel like I'm still processing everything alone.
461.wav|I wonder if I'm learning or just repeatedly making the same mistakes in slightly different forms.
462.wav|There is a constant tension between wanting to move forward and wanting to fully understand where I currently am.
463.wav|I notice how quickly my mood can shift based on thoughts that nobody else can see or hear.
464.wav|Sometimes I feel like I am building understanding on unstable ground where nothing stays fixed for long.
465.wav|I keep searching for answers, but I am starting to realize that not all questions are meant to be resolved quickly.
466.wav|There are moments when I feel completely disconnected from what I am doing, even while I am doing it.
467.wav|I try to trust my instincts
468.wav|but they often feel influenced by too many conflicting thoughts.
469.wav|It is strange how silence can feel both comforting and uncomfortable depending on what I'm thinking about.
470.wav|I sometimes feel like I'm waiting for a version of myself that already exists but is not accessible yet.
471.wav|I keep trying to organize my thoughts, but they resist structure and spread out in different directions.
472.wav|There are days when I feel like I'm remembering things I never fully understood in the first place.
473.wav|I wonder if clarity is something I will eventually reach or something I keep redefining without noticing.
474.wav|I try to focus on the present, but my mind keeps pulling threads from the past into everything I do.
475.wav|Sometimes I feel like I'm observing my own decisions instead of fully participating in them.
476.wav|I keep questioning whether I am improving or just becoming more aware of my own patterns.
477.wav|There are moments when even simple tasks feel like they require more mental effort than they should.
478.wav|I notice how easily I can lose track of time when I'm stuck inside my own thoughts.
479.wav|I sometimes feel like I'm carrying unfinished conversations that never actually happened out loud,
480.wav|I keep searching for stability, but even stability feels temporary when I think about it too much.
481.wav|There are times when I feel like I understand everything for a moment and then immediately lose it again.
482.wav|I wonder if I'm expecting too much from myself without realizing it.
483.wav|Even progress feels complicated when I'm constantly analyzing whether it counts as progress.
484.wav|I try to stay grounded, but my thoughts often pull me into abstract places that feel disconnected from reality.
485.wav|There are moments when I feel like I am split between thinking and living, and neither feels complete.
486.wav|I keep wondering if other people experience this same level of internal noise, or if mine is just louder.
487.wav|Sometimes I feel like I'm trying to interpret life while it is still happening too quickly to fully process.
488.wav|I notice how small thoughts can grow into large emotional weight without any clear reason.
489.wav|I keep telling myself to slow down, but my mind rarely listens when it starts moving fast.
490.wav|There are days when I feel like I am constantly catching up to my own thoughts.
491.wav|I sometimes wish I could experience things without immediately analyzing them afterward.
492.wav|I keep searching for answers that feel complete, but everything I find feels slightly unfinished.
493.wav|Even when nothing is wrong, I still feel like something is unresolved.
494.wav|What's on your mind, darling?
495.wav|What's going on, darling?
496.wav|Is this what you wish I looked like?
497.wav|For dating me.
498.wav|Don't say it again, creep!
499.wav|And how are you looking directly at me without being driven mad?
500.wav|Unspeakable.
501.wav|Get it?
502.wav|As in, cannot be spoken.
503.wav|At least not by humans.
504.wav|After all, the next page in the book has an unspeakable horror on it.
505.wav|It's okay.
506.wav|I forgive you.
507.wav|I didn't know you have a house on the water!
508.wav|Well, my last human ex hit me with a boat.
509.wav|So the bar is low.
510.wav|Send me back.
511.wav|Toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat.
512.wav|Who's that, darling?
513.wav|Just focus on following the book perfectly.
